                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.82313,                0.59599,                 1.1571,                0.98514,                0.98187,                0.98756,                0.81805,                0.72271,                0.33357,                  1.195,             0.00080653,             0.00080653,             0.00080653
                     46,                0.82594,                0.59286,                 1.1621,                0.97728,                0.97465,                0.98901,                0.82914,                0.68352,                 0.3188,                 1.1442,             0.00079238,             0.00079238,             0.00079238
                     47,                0.82685,                 0.6018,                  1.162,                0.98633,                  0.978,                0.99192,                0.83663,                0.66787,                0.32045,                 1.1566,             0.00077823,             0.00077823,             0.00077823
                     48,                0.81715,                0.59209,                 1.1514,                0.97775,                0.97311,                0.98275,                0.83031,                0.67577,                 0.3327,                 1.1458,             0.00076409,             0.00076409,             0.00076409
                     49,                0.80935,                0.58729,                 1.1553,                0.98287,                0.98952,                 0.9925,                0.84027,                0.65769,                0.31415,                 1.1378,             0.00074994,             0.00074994,             0.00074994
                     50,                  0.805,                 0.5735,                 1.1458,                0.99104,                0.98509,                0.99294,                0.84981,                0.63608,                0.29501,                 1.1272,             0.00073579,             0.00073579,             0.00073579
                     51,                0.79419,                0.57428,                 1.1397,                0.97308,                0.99073,                0.98855,                0.84034,                0.67286,                0.32173,                 1.1541,             0.00072164,             0.00072164,             0.00072164
                     52,                0.80898,                0.57543,                 1.1531,                0.98037,                0.97056,                0.98788,                0.84938,                0.64547,                0.32727,                 1.1404,              0.0007075,              0.0007075,              0.0007075
                     53,                0.78134,                 0.5624,                 1.1278,                0.97806,                 0.9754,                0.98724,                0.84183,                0.64769,                0.33154,                 1.1406,             0.00069335,             0.00069335,             0.00069335
                     54,                0.78322,                0.55021,                 1.1368,                0.98663,                0.98476,                0.99217,                0.85084,                 0.6498,                0.30348,                 1.1323,              0.0006792,              0.0006792,              0.0006792
                     55,                0.79442,                0.56204,                 1.1431,                0.98452,                0.98498,                0.98932,                0.84592,                0.64998,                0.29896,                 1.1415,             0.00066506,             0.00066506,             0.00066506
                     56,                0.78099,                0.54913,                  1.134,                0.98987,                0.98557,                0.99172,                0.84663,                 0.6445,                0.29705,                 1.1296,             0.00065091,             0.00065091,             0.00065091
                     57,                0.78873,                0.55317,                 1.1353,                0.98816,                0.98677,                0.98377,                0.83989,                0.65786,                0.30948,                 1.1516,             0.00063676,             0.00063676,             0.00063676
                     58,                 0.7668,                0.55058,                 1.1294,                0.98572,                0.98648,                0.99002,                0.84229,                0.64594,                0.29706,                 1.1368,             0.00062262,             0.00062262,             0.00062262
                     59,                0.76143,                0.52712,                 1.1239,                0.96956,                0.99116,                0.99239,                0.85277,                0.64664,                0.29091,                 1.1435,             0.00060847,             0.00060847,             0.00060847
                     60,                0.76985,                0.54903,                 1.1269,                0.99012,                0.96543,                0.99223,                0.85279,                0.65274,                0.30088,                 1.1423,             0.00059432,             0.00059432,             0.00059432
                     61,                0.75795,                0.53145,                 1.1251,                0.99531,                0.97898,                0.99229,                 0.8499,                0.63875,                0.27855,                 1.1204,             0.00058017,             0.00058017,             0.00058017
                     62,                0.76157,                 0.5264,                 1.1201,                 0.9804,                0.97958,                0.99016,                0.84848,                0.64929,                0.30564,                  1.143,             0.00056603,             0.00056603,             0.00056603
                     63,                0.76126,                0.53523,                  1.117,                0.98226,                0.97777,                0.99164,                0.85156,                 0.6396,                0.29945,                 1.1455,             0.00055188,             0.00055188,             0.00055188
                     64,                0.75276,                0.52971,                  1.121,                0.98657,                0.97927,                0.98992,                0.84596,                 0.6505,                0.29538,                 1.1426,             0.00053773,             0.00053773,             0.00053773
                     65,                0.74844,                0.52556,                 1.1151,                0.98774,                0.99045,                0.99205,                0.85089,                0.65029,                0.28758,                 1.1426,             0.00052359,             0.00052359,             0.00052359
                     66,                0.75317,                0.52854,                 1.1202,                0.98193,                0.98708,                0.99224,                0.84099,                0.65722,                0.29663,                  1.136,             0.00050944,             0.00050944,             0.00050944
                     67,                0.74304,                0.51909,                 1.1099,                 0.9878,                0.97956,                0.98996,                0.85625,                0.62791,                0.28677,                 1.1167,             0.00049529,             0.00049529,             0.00049529
                     68,                0.73287,                0.50341,                 1.1034,                0.98736,                0.98416,                0.99057,                0.85138,                0.64634,                0.28468,                 1.1338,             0.00048114,             0.00048114,             0.00048114
                     69,                0.73642,                0.50483,                 1.1055,                0.98663,                0.98257,                0.99238,                0.85044,                0.63641,                0.28941,                 1.1365,               0.000467,               0.000467,               0.000467
                     70,                0.72116,                0.50122,                 1.1016,                0.98779,                0.98518,                0.99325,                0.85913,                 0.6334,                0.28418,                 1.1392,             0.00045285,             0.00045285,             0.00045285
                     71,                0.72545,                 0.5006,                 1.1042,                0.97872,                0.98697,                0.99264,                0.85839,                0.62461,                 0.2826,                 1.1374,              0.0004387,              0.0004387,              0.0004387
                     72,                0.71982,                0.50471,                 1.1003,                0.98806,                0.97668,                0.99197,                 0.8485,                0.63586,                0.28858,                 1.1352,             0.00042456,             0.00042456,             0.00042456
                     73,                0.71904,                0.50018,                 1.0986,                 0.9839,                0.98878,                0.99362,                0.85619,                0.63533,                0.28649,                 1.1324,             0.00041041,             0.00041041,             0.00041041
                     74,                0.72449,                0.50179,                 1.1048,                0.98639,                0.98457,                0.99228,                0.85103,                0.64501,                0.29209,                 1.1412,             0.00039626,             0.00039626,             0.00039626
                     75,                0.70947,                0.48887,                  1.094,                0.98864,                0.98272,                0.99338,                0.85979,                0.63425,                0.28495,                 1.1256,             0.00038211,             0.00038211,             0.00038211
                     76,                0.70788,                0.49254,                 1.0945,                0.98754,                0.98828,                0.99195,                0.85861,                0.62692,                0.27998,                 1.1333,             0.00036797,             0.00036797,             0.00036797
                     77,                 0.7145,                0.48876,                 1.0999,                0.98615,                0.98286,                0.99196,                0.85275,                0.63535,                0.28117,                  1.133,             0.00035382,             0.00035382,             0.00035382
                     78,                0.69568,                0.48474,                 1.0842,                0.98849,                0.97986,                0.99234,                0.86245,                0.62004,                0.27847,                 1.1253,             0.00033967,             0.00033967,             0.00033967
                     79,                0.70023,                0.47564,                 1.0801,                0.98396,                0.98082,                0.99167,                0.85944,                0.62519,                0.28569,                 1.1344,             0.00032553,             0.00032553,             0.00032553
                     80,                0.68801,                0.48102,                 1.0841,                0.98731,                0.98711,                0.99146,                0.85427,                0.62658,                0.28364,                 1.1395,             0.00031138,             0.00031138,             0.00031138
                     81,                0.69273,                0.47112,                 1.0849,                0.98156,                0.98777,                0.99126,                0.85475,                0.63333,                0.28335,                 1.1378,             0.00029723,             0.00029723,             0.00029723
                     82,                0.68622,                0.47129,                 1.0769,                  0.994,                0.98995,                0.99243,                0.85354,                0.63302,                0.27715,                 1.1372,             0.00028308,             0.00028308,             0.00028308
                     83,                0.68302,                0.47015,                 1.0821,                0.98995,                0.98734,                0.99238,                0.86028,                0.62622,                0.27379,                 1.1329,             0.00026894,             0.00026894,             0.00026894
                     84,                0.67623,                0.46613,                 1.0798,                0.99157,                0.97857,                0.99305,                0.86256,                0.62375,                0.27338,                 1.1421,             0.00025479,             0.00025479,             0.00025479
                     85,                0.67378,                0.46729,                 1.0774,                 0.9881,                0.97438,                0.99172,                0.85715,                0.62613,                0.28198,                 1.1367,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.6735,                0.45889,                 1.0707,                0.97804,                0.98947,                0.99264,                0.85722,                0.63119,                0.28569,                 1.1385,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.6726,                0.45568,                 1.0723,                0.98148,                0.98857,                0.99275,                 0.8593,                 0.6279,                0.28247,                 1.1397,             0.00021235,             0.00021235,             0.00021235
                     88,                0.66335,                0.44877,                   1.07,                0.98911,                0.98015,                0.99141,                0.85285,                0.63493,                0.28428,                 1.1395,              0.0001982,              0.0001982,              0.0001982
                     89,                0.66398,                 0.4508,                 1.0678,                0.98015,                0.98484,                0.99058,                0.85492,                0.63216,                0.28061,                 1.1362,             0.00018406,             0.00018406,             0.00018406
                     90,                0.65693,                0.44513,                 1.0656,                 0.9884,                0.97847,                0.99041,                0.85666,                0.62531,                0.27935,                 1.1366,             0.00016991,             0.00016991,             0.00016991
                     91,                0.55672,                0.26617,                 1.0535,                0.98381,                0.98286,                0.98725,                0.84917,                0.63522,                0.29407,                 1.1412,             0.00015576,             0.00015576,             0.00015576
                     92,                0.54269,                0.25382,                 1.0392,                0.98678,                0.97914,                0.99018,                0.85235,                0.63451,                0.27953,                 1.1461,             0.00014161,             0.00014161,             0.00014161
                     93,                0.53858,                0.24854,                 1.0367,                0.99026,                0.97814,                0.98953,                0.85311,                0.63669,                0.27886,                 1.1504,             0.00012747,             0.00012747,             0.00012747
                     94,                0.52954,                0.24484,                 1.0282,                0.98497,                0.97956,                0.98953,                0.85268,                0.63628,                0.27655,                 1.1468,             0.00011332,             0.00011332,             0.00011332
                     95,                0.52864,                0.24407,                 1.0338,                0.98073,                0.98287,                0.98913,                0.85451,                 0.6335,                 0.2753,                 1.1494,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.51549,                0.24303,                   1.02,                0.98612,                0.97748,                0.98878,                0.84952,                0.63759,                0.28137,                 1.1576,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.50796,                0.23927,                 1.0103,                0.98555,                0.98227,                0.98919,                0.85141,                0.63596,                0.27672,                 1.1533,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.5063,                 0.2368,                 1.0177,                0.98754,                 0.9824,                0.98833,                0.85439,                0.63352,                0.27398,                 1.1534,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.50398,                0.23458,                 1.0129,                0.98976,                0.98257,                0.98938,                0.85475,                0.63458,                0.27225,                 1.1544,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.49938,                0.23205,                 1.0082,                0.99038,                0.98148,                0.98959,                0.85824,                0.63537,                0.27248,                 1.1544,             2.8437e-05,             2.8437e-05,             2.8437e-05
