                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0548,                0.83034,                 1.1955,                0.87707,                0.78104,                0.87002,                0.61096,                 1.0406,                0.88601,                 1.1933,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0145,                0.81309,                 1.1691,                0.84373,                0.80211,                0.86776,                0.59877,                 1.0295,                0.86292,                 1.2128,                0.00101,                0.00101,                0.00101
                     52,                0.99837,                0.79064,                  1.161,                 0.8304,                0.79579,                0.86194,                0.59649,                 1.0348,                0.89191,                 1.1961,              0.0009902,              0.0009902,              0.0009902
                     53,                0.99212,                0.77176,                 1.1733,                0.84641,                   0.76,                0.86114,                0.59927,                 1.0318,                0.93731,                 1.2094,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0184,                0.80404,                 1.1868,                0.83689,                0.79394,                0.87433,                0.61171,                 1.0314,                0.84574,                 1.2015,              0.0009506,              0.0009506,              0.0009506
                     55,                0.98234,                0.78478,                 1.1579,                0.72186,                0.81263,                0.80757,                0.55423,                 1.0745,                 1.0913,                 1.2511,              0.0009308,              0.0009308,              0.0009308
                     56,                0.97096,                0.76554,                 1.1425,                0.78039,                0.78554,                0.85318,                0.61144,                 1.0116,                0.90397,                 1.2035,               0.000911,               0.000911,               0.000911
                     57,                0.98769,                0.76288,                 1.1634,                0.84568,                0.77874,                0.86007,                0.61039,                 1.0209,                 0.9199,                 1.2007,              0.0008912,              0.0008912,              0.0008912
                     58,                0.99596,                 0.7717,                 1.1692,                0.86921,                0.75553,                0.84622,                0.59654,                 1.0567,                0.96192,                 1.2377,              0.0008714,              0.0008714,              0.0008714
                     59,                0.97221,                0.77205,                 1.1516,                0.84093,                0.77368,                0.86916,                0.61963,                 1.0045,                0.86894,                 1.1885,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97431,                0.76356,                 1.1561,                0.87078,                0.76612,                0.86173,                 0.6135,                 1.0198,                0.90741,                 1.2029,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.9821,                0.76513,                 1.1618,                0.82544,                0.77789,                0.86075,                0.61447,                 1.0143,                0.90797,                 1.1941,               0.000812,               0.000812,               0.000812
                     62,                0.95353,                0.73365,                 1.1407,                0.78056,                0.79474,                0.84796,                0.60271,                 1.0349,                 0.9587,                 1.2341,              0.0007922,              0.0007922,              0.0007922
                     63,                0.96097,                 0.7274,                 1.1354,                0.87264,                0.73263,                0.84582,                 0.5717,                 1.1015,                0.92481,                 1.2443,              0.0007724,              0.0007724,              0.0007724
                     64,                0.97914,                0.72603,                 1.1671,                0.72757,                0.77872,                0.81683,                0.57618,                 1.0571,                 1.0422,                 1.2372,              0.0007526,              0.0007526,              0.0007526
                     65,                0.92735,                0.70935,                 1.1404,                0.89692,                 0.7785,                0.88329,                 0.6192,                 1.0125,                0.82141,                 1.1614,              0.0007328,              0.0007328,              0.0007328
                     66,                0.93398,                0.72637,                 1.1319,                0.91673,                0.77646,                 0.8789,                0.62857,                 1.0023,                0.84792,                 1.1769,               0.000713,               0.000713,               0.000713
                     67,                0.92423,                0.70191,                 1.1271,                0.88389,                0.75579,                0.87614,                0.62478,                 1.0008,                0.82112,                 1.1883,              0.0006932,              0.0006932,              0.0006932
                     68,                0.94242,                0.71034,                 1.1431,                0.80816,                0.78842,                 0.8523,                0.60297,                 1.0266,                0.95308,                 1.2091,              0.0006734,              0.0006734,              0.0006734
                     69,                0.94041,                0.69926,                 1.1239,                0.83958,                0.74922,                 0.8567,                0.61405,                 1.0061,                0.90313,                  1.201,              0.0006536,              0.0006536,              0.0006536
                     70,                0.91937,                0.70783,                 1.1264,                 0.8531,                0.75801,                  0.867,                0.62572,                 1.0022,                0.86958,                 1.1816,              0.0006338,              0.0006338,              0.0006338
                     71,                0.91874,                0.70485,                 1.1176,                0.84202,                0.77789,                 0.8692,                0.60554,                  1.023,                0.87789,                 1.2024,               0.000614,               0.000614,               0.000614
                     72,                0.94294,                0.72444,                  1.142,                0.82797,                0.77263,                0.86324,                 0.6037,                 1.0339,                0.89417,                 1.2373,              0.0005942,              0.0005942,              0.0005942
                     73,                0.88971,                 0.6683,                 1.1031,                0.87791,                0.75158,                0.85588,                0.60207,                 1.0594,                0.94092,                 1.2568,              0.0005744,              0.0005744,              0.0005744
                     74,                0.88928,                0.66586,                 1.1135,                0.85521,                 0.7399,                0.85992,                0.62121,                 1.0069,                0.91112,                 1.1921,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90758,                0.66252,                 1.1168,                0.89268,                0.77368,                0.86992,                0.63559,                0.98332,                0.83111,                 1.1754,              0.0005348,              0.0005348,              0.0005348
                     76,                0.88749,                0.66465,                 1.1092,                 0.8881,                0.78632,                 0.8761,                0.62564,                  1.008,                  0.832,                 1.2095,               0.000515,               0.000515,               0.000515
                     77,                 0.9018,                0.66258,                 1.1071,                0.87922,                0.81227,                0.88808,                0.63652,                0.98044,                0.79494,                  1.183,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.8703,                0.64475,                 1.0964,                 0.8922,                0.79281,                0.87964,                0.62342,                 1.0239,                0.81685,                 1.2099,              0.0004754,              0.0004754,              0.0004754
                     79,                0.86645,                0.63806,                 1.0983,                0.87257,                0.77848,                0.87166,                0.63165,                0.98085,                0.83397,                 1.1666,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.8738,                0.65659,                 1.0975,                0.83777,                 0.7719,                0.84929,                0.61191,                0.97575,                0.93837,                 1.1618,              0.0004358,              0.0004358,              0.0004358
                     81,                0.86239,                0.63821,                 1.0938,                0.88026,                0.77158,                0.87274,                0.63374,                0.97462,                0.83821,                  1.179,               0.000416,               0.000416,               0.000416
                     82,                0.86053,                0.61838,                 1.0848,                0.87581,                0.79158,                0.87578,                0.63909,                0.98714,                0.81439,                 1.1786,              0.0003962,              0.0003962,              0.0003962
